well_idx,x,y,r,thumb,mean_R,mean_G,mean_B,hue_deg
1,912,851,16,well_1.png,218.02267573696145,218.02267573696145,218.02267573696145,0.0
2,860,211,14,well_2.png,221.8005540166205,220.76592797783934,226.70083102493075,250.45974329054846
3,775,381,13,well_3.png,203.2975778546713,201.81487889273356,206.9948096885813,257.1743486973947
4,35,544,9,well_4.png,203.42708333333334,203.42708333333334,203.42708333333334,0.0
5,393,483,13,well_5.png,229.31920415224914,220.07785467128028,223.77076124567475,336.0235888795281
6,296,10,7,well_6.png,220.105,220.105,220.105,0.0
7,771,421,16,well_7.png,202.30045351473922,200.859410430839,206.58616780045352,255.09800039596087
8,143,23,13,well_8.png,216.590830449827,216.86418685121106,217.3832179930796,219.30131004366925
9,763,356,12,well_9.png,195.2431640625,193.4404296875,201.2294921875,253.88665997993982
10,35,100,8,well_10.png,213.48553719008265,213.48553719008265,213.48553719008265,0.0
11,35,302,7,well_11.png,208.2875,208.2875,208.2875,0.0
12,807,115,17,well_12.png,214.64035916824196,214.02173913043478,218.3133270321361,248.64882722167164
13,36,67,5,well_13.png,199.12755102040816,199.12755102040816,199.12755102040816,0.0
14,901,131,14,well_14.png,218.2707756232687,218.2707756232687,218.2707756232687,0.0
15,734,379,13,well_15.png,185.4558823529412,183.43598615916954,191.0847750865052,255.84483148608925
16,35,527,8,well_16.png,211.8904958677686,211.8904958677686,211.8904958677686,0.0
17,902,324,12,well_17.png,209.69140625,209.69140625,209.69140625,0.0
18,174,10,9,well_18.png,187.29545454545453,187.29545454545453,187.29545454545453,0.0
19,768,14,6,well_19.png,203.15234375,203.15234375,203.15234375,0.0
20,910,549,6,well_20.png,198.63671875,198.63671875,198.63671875,0.0
21,787,13,5,well_21.png,205.69897959183675,205.69897959183675,205.69897959183675,0.0
22,904,345,17,well_22.png,225.1053875236295,225.1053875236295,225.1053875236295,0.0
23,858,319,14,well_23.png,193.30540166204986,190.80817174515235,198.68559556786704,259.0206593406592
24,781,219,12,well_24.png,216.8310546875,215.5927734375,220.3369140625,255.6607657472212
25,730,591,10,well_25.png,216.93239795918367,205.81505102040816,212.2716836734694,325.15374024782
26,37,805,5,well_26.png,208.82142857142858,208.82142857142858,208.82142857142858,0.0
27,779,308,12,well_27.png,202.544921875,200.40234375,205.6474609375,264.50940234593185
28,283,44,10,well_28.png,210.6466836734694,207.82142857142858,213.59821428571428,269.3442260984763
29,362,14,6,well_29.png,191.96875,191.96875,191.96875,0.0
30,908,500,6,well_30.png,199.13671875,199.13671875,199.13671875,0.0
31,574,14,5,well_31.png,183.3469387755102,183.3469387755102,183.3469387755102,0.0
32,917,651,4,well_32.png,178.05555555555554,178.05555555555554,178.05555555555554,0.0
33,599,650,4,well_33.png,232.875,230.56944444444446,241.17361111111111,253.04518664047134
34,865,141,9,well_34.png,216.59375,214.62326388888889,224.88888888888889,251.51699644850328
35,910,262,5,well_35.png,192.02551020408163,192.02551020408163,192.02551020408163,0.0
36,430,499,5,well_36.png,223.8265306122449,217.23979591836735,229.95408163265307,271.08346709470317
37,415,279,5,well_37.png,229.62244897959184,212.98979591836735,222.9234693877551,324.1656441717792
38,291,811,17,well_38.png,197.33931947069942,198.62287334593572,202.33601134215502,224.58715596330273
39,762,165,17,well_39.png,191.86294896030245,190.75614366729678,195.2320415879017,254.83687044662628
40,228,50,14,well_40.png,218.09903047091413,213.8213296398892,219.77770083102493,283.09033833275197
41,737,635,12,well_41.png,223.357421875,216.2353515625,221.3583984375,316.840806252571
42,35,495,9,well_42.png,226.875,226.875,226.875,0.0
43,436,407,9,well_43.png,208.04513888888889,209.11458333333334,219.63194444444446,234.46209169913084
44,868,334,6,well_44.png,181.3671875,177.875,189.72265625,257.6854599406529
45,790,649,4,well_45.png,189.15972222222223,173.00694444444446,200.16666666666666,275.6839682945539
46,356,355,4,well_46.png,168.63888888888889,166.66666666666666,190.73611111111111,244.91633006347374
47,899,482,11,well_47.png,226.62,226.62,226.62,0.0
48,850,416,9,well_48.png,216.53125,215.71006944444446,219.60069444444446,252.66398929049518
49,75,692,9,well_49.png,204.78125,190.36979166666666,196.82465277777777,333.12612938200226
50,234,746,5,well_50.png,188.87244897959184,184.44387755102042,192.46938775510205,273.1087094723457
51,489,625,5,well_51.png,215.45408163265307,212.2091836734694,226.17857142857142,253.93718042366692
52,918,438,5,well_52.png,191.8622448979592,191.8622448979592,191.8622448979592,0.0
53,171,747,5,well_53.png,194.8673469387755,193.1377551020408,197.83163265306123,262.1086956521737
54,446,254,5,well_54.png,221.96938775510205,213.10204081632654,218.66326530612244,322.37054085155364
55,731,190,4,well_55.png,179.70138888888889,177.41666666666666,187.57638888888889,253.4928229665072
56,779,332,12,well_56.png,203.0341796875,201.962890625,206.3076171875,254.79433580579928
57,870,117,6,well_57.png,206.8671875,203.203125,220.3671875,252.8083750568958
58,868,841,6,well_58.png,195.45703125,173.11328125,188.90234375,317.60139860139856
59,912,790,6,well_59.png,199.40625,199.40625,199.40625,0.0
60,918,814,5,well_60.png,193.08673469387756,193.08673469387756,193.08673469387756,0.0
61,644,118,5,well_61.png,204.52551020408163,201.55102040816325,214.65816326530611,253.61619307123402
62,368,762,4,well_62.png,185.40277777777777,182.94444444444446,190.85416666666666,258.6479367866547
63,82,804,4,well_63.png,193.70833333333334,188.21527777777777,201.70833333333334,264.42614513638705
64,732,14,4,well_64.png,177.8125,177.8125,177.8125,0.0
